h,t,n,h_p,i,w,C,W,V,M_y,M_Rd,M_y/M_Rd,V_z,V_Rd,V_z/V_Rd,P_z,N_Rd,P_z/N_Rd,u_z,u_z/u_zul,u_z,u_z/u_zul,f_gs0,f_gs1,f_gs2,fh_0,fh_1,fh_2,BC0,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10
1.247986674,0.176995322,3,0.977506936,3,5.52,107677.76,239.86,95.94,-3870.78,4085.58,0.95,-933.97,912.93,1.02,576.5,22873.99,0.03,24.1,0.42,69.08,1.41,2.08,2.65,2.85,3.5,4.56,5.82,0,0,0,1,0,0,0,0,0,1,0
1.098995686,0.211968347,2,0.673521519,2,2.88,106075.25,238.26,95.3,-7419,3580.91,2.07,-1212.71,877.76,1.38,713.38,12836.22,0.06,44.1,0.84,122.92,2.74,1.37,1.76,2.59,2.15,3.1,3.36,1,0,0,0,1,0,0,0,0,0,0
1.455542207,0.171071351,5,1.251636147,3,4.84,112111.11,247.81,99.13,-4494.51,4788.62,0.94,-928.62,953.1,0.97,342.42,35095.46,0.01,15.9,0.28,49.07,1.01,2.18,3.12,3.61,4.28,7.68,8.39,0,0,0,1,0,0,0,0,0,1,1
1.507661581,0.180539176,2,0.915564895,1,3.33,115753.96,257.55,103.02,-7487.3,4965.16,1.51,1149.76,961.9,1.2,926.93,20528.78,0.05,18.5,0.33,60.29,1.25,1.41,2.3,3.02,2.7,4.12,4.63,0,0,0,0,0,0,0,0,1,0,0
1.245042801,0.364854306,7,0.936232448,2,4.86,177927.7,400.95,160.38,-10868.95,4075.61,2.67,-1900.93,912.29,2.08,383.73,21294.22,0.02,54,1,137.15,2.96,1.31,2.04,2.89,2.41,4.73,8.62,0,0,0,0,1,0,0,0,0,0,0
1.720351219,0.119653054,2,1.257645488,3,5,93151.74,201.39,80.56,7459.76,5685.59,1.31,990.58,993.56,1,812.97,35397.04,0.02,50.7,0.89,165.99,3.41,1.35,2.65,3.5,2.31,3.88,5.07,0,0,0,1,0,0,0,0,0,1,1
2.266566753,0.115002856,2,0.864735544,3,5.92,95271.29,211.4,84.56,8821.31,7535.75,1.17,1060.94,1052.77,1.01,912.86,18718.95,0.05,34.7,0.6,116.7,2.36,1.64,2.92,3.72,2.68,3.9,5.14,0,0,0,1,0,0,0,0,0,1,1
1.699947596,0.179094955,2,0.96538502,3,3.2,117749.89,261.54,104.61,7969.79,5616.48,1.42,1267.97,990.79,1.28,977.94,22402.96,0.04,35.7,0.65,113.36,2.42,1.54,2.69,3.56,2.67,3.63,4.91,0,0,1,1,0,0,0,0,0,1,1
1.666983366,0.299338609,7,0.477594078,1,5.53,188471.44,427.34,170.94,-7489.93,5504.82,1.36,-1543.63,986.2,1.57,316.79,8325.52,0.04,14.1,0.24,37.18,0.73,1.41,2.01,3.63,3.42,4.6,4.96,0,0,0,0,0,0,0,0,1,0,0
2.171940565,0.086337186,4,1.18927145,0,3.98,73202.49,158.94,63.57,-6296.52,7215.23,0.87,1002.29,1044.23,0.96,168.24,32050.93,0.01,21,0.38,70.38,1.47,2.5,3.13,4.1,3.84,4.9,11.54,0,0,0,0,1,0,0,0,1,0,0
0.991032004,0.213397458,6,1.180119872,2,5.87,111389.23,247.82,99.13,-7789.55,3215.21,2.42,-1279.56,847.95,1.51,195.92,31617.25,0.01,69.9,1.28,182.36,3.9,1.1,1.78,2.64,2.11,4.58,8.16,0,0,0,0,1,0,0,0,0,0,0
1.721586943,0.151968241,5,0.577882826,0,2.27,93738.74,211.48,84.59,-6749.57,5689.78,1.19,1294.15,993.73,1.3,157.03,10442.57,0.02,22.3,0.42,71.59,1.58,1.91,2.92,4.36,3.75,4.3,8.59,0,0,0,0,1,0,0,0,1,0,0
1.073407292,0.253585815,2,1.002413869,1,2.19,129963.75,289.08,115.63,-8033.52,3494.24,2.3,1268.21,871.06,1.46,930.51,23860.27,0.04,31.1,0.58,94.53,2.06,1.24,2.1,2.6,2.32,3.33,3.54,0,0,0,0,1,0,0,0,0,0,0
0.78422755,0.240734756,3,0.881462812,2,6.36,113178.89,253.47,101.39,-7739.82,2514.72,3.08,-1288.33,777.11,1.66,445.18,19303.13,0.02,129,2.35,349.48,7.43,0.93,1.37,2.04,1.49,2.74,4.07,0,0,0,0,1,0,0,0,0,0,0
1.774031878,0.138316005,2,1.56591177,4,6.76,102835.74,217.46,86.99,-6000.53,5867.42,1.02,-951.03,1000.63,0.95,584.22,52805.19,0.01,10.2,0.2,37.79,0.87,1.49,3.44,5.12,4.43,4.71,5.99,1,0,0,0,1,0,0,0,0,0,0
1.538761497,0.136063963,7,0.194771215,0,5.33,86315.53,196.01,78.4,-7071.24,5070.5,1.4,1297.06,966.94,1.34,9.03,4522.31,0,54.6,0.96,182.42,3.72,1.19,1.89,3.45,2.45,2.66,5.45,0,0,0,0,1,1,0,0,1,0,0
2.429197311,0.001560886,6,1.025086999,1,6.18,8285.91,13.59,5.44,-1388.05,8086.62,0.17,-242.02,1066.16,0.23,53.64,24779.66,0,69.1,1.15,158.77,3.09,0.37,0.84,1.4,1.65,2.07,3.08,0,0,0,0,0,0,0,0,1,0,0
0.912603438,0.328500301,2,0.555163503,0,4.07,150586.58,340.34,136.14,-10496.37,2949.56,3.56,-1719.93,823.48,2.09,754.36,9927.73,0.08,175.1,3.14,568.25,11.88,0.93,1.22,2.65,1.28,2.41,3.38,0,0,0,0,1,0,0,0,1,0,0
2.07595849,0.147907376,3,0.728246927,2,6.22,105344.56,236.43,94.57,-6237.54,6890.12,0.91,-1211.14,1034.93,1.17,435.65,14370.47,0.03,26.6,0.49,56.85,1.21,1.74,2.78,2.95,2.99,4.79,5.98,0,0,0,0,1,0,0,0,0,0,0
1.382654667,0.344601035,5,1.33986938,0,1.06,172570.7,384.21,153.68,-9322.2,4541.73,2.05,-1640.18,939.99,1.75,322.77,39668.6,0.01,20.8,0.41,60.44,1.39,1.28,2.96,3.65,3.84,4.31,8.53,1,0,0,0,1,0,0,0,0,0,0
1.165376306,0.229177386,7,0.740928054,1,5.32,131184.52,295.9,118.36,-5717.89,3805.76,1.5,-1142.95,894.2,1.28,203.99,14743.08,0.01,23.7,0.4,58.83,1.16,1.51,2.5,2.85,3.61,4.35,6,0,0,0,0,0,0,0,0,1,0,0
0.559019387,0.413414598,4,0.773886621,2,5.43,149762.65,337.92,135.17,-5861.61,1751.88,3.35,-962.75,669.17,1.44,243.28,15741.61,0.02,226.7,4.17,642.74,13.79,0.77,1.02,1.83,1.19,2.73,4.29,0,0,0,0,1,0,0,0,0,0,0
1.370429635,0.2891514,7,0.51067847,0,1.74,144656.21,327.67,131.07,-9031.47,4500.32,2.01,1876.57,937.69,2,196.88,8979.45,0.02,31.5,0.61,99.65,2.24,1.46,2.4,3.74,3.2,3.72,8.07,0,0,0,0,1,0,0,0,0,0,0
1.558808684,0.134271175,2,0.650048971,2,6.4,85293.04,191.1,76.44,-6693.27,5138.41,1.3,-1075.94,970.1,1.11,599.2,12214.87,0.05,37.6,0.69,83.65,1.78,1.47,2.03,2.17,2.37,3.59,3.9,0,0,0,0,1,0,0,0,0,0,0
0.859112084,0.405130833,2,0.922258854,2,2.75,163412.29,366.24,146.49,-10811.64,2768.37,3.91,-1715.18,805.21,2.13,1017.26,20774.82,0.05,89.9,1.72,264.38,5.91,1.06,1.36,1.64,1.66,2.12,2.91,1,0,0,0,1,0,0,0,0,0,0
1.084000707,0.221081033,4,0.834093034,3,3.8,116924.47,262.61,105.04,-4210.44,3530.12,1.19,-980.72,873.86,1.12,446.77,17677.82,0.03,30.6,0.55,89.51,1.88,2.01,2.41,2.98,3.15,5.37,6.79,0,0,0,1,0,0,0,0,0,0,0
2.08690691,0.17494981,7,0.483664572,3,5.46,126229.71,285.82,114.33,5207.06,6927.2,0.75,-977.16,1036.03,0.94,320.69,8442.22,0.04,14.1,0.25,40.03,0.82,1.97,2.72,3.49,4.38,5.33,7.24,0,0,0,1,0,0,0,0,0,1,1
